t,i,j,k,v,q
2023,410,8,190190,10.669,3.2
2023,410,8,190230,2.064,0.684
2023,410,8,190590,6.214,1.75
2023,410,8,210690,28.453,0.232
2023,410,8,292910,1270.604,725.0
2023,410,8,300212,363.582,2.264
2023,410,8,300640,367.372,1.944
2023,410,8,321410,87.154,13.457
2023,410,8,330410,27.317,0.339
2023,410,8,330420,21.741,0.18
2023,410,8,330430,4.863,0.504
2023,410,8,330491,22.414,0.212
2023,410,8,330499,3825.5,53.679
2023,410,8,330510,60.282,5.149
2023,410,8,330590,45.818,2.143
2023,410,8,330790,9.443,0.29
2023,410,8,340130,135.826,4.858
2023,410,8,350610,9.306,0.179
2023,410,8,382000,1.229,0.132
2023,410,8,382219,70.539,0.416
2023,410,8,390120,204.276,137.0
2023,410,8,390210,36.091,26.998
2023,410,8,390690,537.026,265.374
2023,410,8,390729,1097.382,817.91
2023,410,8,390950,1394.747,946.644
2023,410,8,391239,74.147,13.575
2023,410,8,391722,84.769,9.231
2023,410,8,391732,3.744,0.225
2023,410,8,391910,495.165,102.513
2023,410,8,391990,107.932,9.678
2023,410,8,392010,244.917,62.944
2023,410,8,392043,57.814,6.902
2023,410,8,392190,1.141,0.104
2023,410,8,392350,112.548,11.952
2023,410,8,392390,0.372,0.015
2023,410,8,392630,3.709,0.084
2023,410,8,392690,1924.377,130.63
2023,410,8,400942,0.76,0.011
2023,410,8,401031,0.698,0.011
2023,410,8,401039,2.675,0.047
2023,410,8,401110,75.331,12.992
2023,410,8,401691,3.682,0.56
2023,410,8,401693,9.875,0.16
2023,410,8,401699,439.465,35.769
2023,410,8,481149,39.746,3.916
2023,410,8,540742,321.947,17.749
2023,410,8,540752,32.903,0.878
2023,410,8,551622,128.829,2.986
2023,410,8,570490,1.999,0.078
2023,410,8,580639,41.025,0.232
2023,410,8,590320,527.913,29.85
2023,410,8,590390,373.26,30.604
2023,410,8,590610,586.189,24.94
2023,410,8,590700,28.822,0.209
2023,410,8,610910,0.941,0.015
2023,410,8,611595,0.33,0.003
2023,410,8,620442,0.516,0.008
2023,410,8,620462,0.312,0.008
2023,410,8,620463,2.822,0.005
2023,410,8,620920,6.707,0.066
2023,410,8,621790,205.432,1.651
2023,410,8,630710,5.532,0.172
2023,410,8,650500,0.208,0.003
2023,410,8,680421,5.281,0.268
2023,410,8,681381,12.159,0.349
2023,410,8,700711,3.446,0.091
2023,410,8,700910,3.566,0.046
2023,410,8,720851,43.645,41.85
2023,410,8,721633,48.747,48.412
2023,410,8,731512,0.357,0.01
2023,410,8,731815,10.949,0.347
2023,410,8,731816,2.34,0.375
2023,410,8,731822,0.137,0.006
2023,410,8,731829,13.16,0.005
2023,410,8,732690,5.069,0.359
2023,410,8,741210,3.756,0.074
2023,410,8,741980,0.263,0.003
2023,410,8,820559,2.113,0.012
2023,410,8,821220,15.954,0.17
2023,410,8,821420,18.217,0.382
2023,410,8,830120,1.197,0.013
2023,410,8,830170,0.088,0.003
2023,410,8,830210,0.518,0.022
